Celda,f0,chi
1,39919,0.16386320
2,39927,0.13307917
3,40048,0.05769610
4,39884,0.33616838
5,39880,0.35976040
6,40326,2.65755470
7,39850,0.56220060
8,39737,1.72870077
9,40092,0.21178425
10,40141,0.49730754
11,39397,9.08902813
12,40434,4.70977275
13,40009,0.00204304
14,40317,2.51286155
15,39984,0.00636805
16,39939,0.09290313
17,40368,3.38633943
18,40365,3.33135837
19,40304,2.31101035
20,39837,0.66389970
21,39660,2.88932293
22,40235,1.38109642
23,39981,0.00898705
24,39549,5.08412812
25,39816,0.84603289
Celda,f0,chi
1,39919,0.16386320
2,39927,0.13307917
3,40048,0.05769610
4,39884,0.33616838
5,39880,0.35976040
6,40326,2.65755470
7,39850,0.56220060
8,39737,1.72870077
9,40092,0.21178425
10,40141,0.49730754
11,39397,9.08902813
12,40434,4.70977275
13,40009,0.00204304
14,40317,2.51286155
15,39984,0.00636805
16,39939,0.09290313
17,40368,3.38633943
18,40365,3.33135837
19,40304,2.31101035
20,39837,0.66389970
21,39660,2.88932293
22,40235,1.38109642
23,39981,0.00898705
24,39549,5.08412812
25,39816,0.84603289
