Huecos,f0,pe,fe,chi
0,1000439,0.10000000,999999.00000000,0.19360019
1,899134,0.09000000,899999.10000000,0.83155418
2,808645,0.08100000,809999.19000000,2.26399060
3,728665,0.07290000,728999.27100000,0.15327464
4,655298,0.06561000,656099.34390000,0.97874209
5,590901,0.05904900,590489.40951000,0.28689207
6,531724,0.05314410,531440.46855900,0.15126827
7,478318,0.04782969,478296.42170310,0.00097350
8,432046,0.04304672,430466.76953280,5.79363855
9,388304,0.03874205,387420.11257950,2.01656276
10,349420,0.03486784,348678.05132160,1.57878547
11,312972,0.03138106,313810.28618940,2.23932664
12,283570,0.02824295,282429.21757050,4.60782550
13,254018,0.02541866,254186.34581340,0.11149424
14,228538,0.02287679,228767.67123210,0.23057836
15,205874,0.02058911,205890.89410890,0.00138622
16,185284,0.01853020,185301.81469800,0.00171268
17,167326,0.01667718,166771.63322820,1.84277453
18,150073,0.01500946,150094.44990540,0.00306539
19,134442,0.01350852,135085.06491480,3.06127465
20,121574,0.01215767,121576.57842330,0.00005468
Huecos,f0,pe,fe,chi
0,1000439,0.10000000,999999.00000000,0.19360019
1,899134,0.09000000,899999.10000000,0.83155418
2,808645,0.08100000,809999.19000000,2.26399060
3,728665,0.07290000,728999.27100000,0.15327464
4,655298,0.06561000,656099.34390000,0.97874209
5,590901,0.05904900,590489.40951000,0.28689207
6,531724,0.05314410,531440.46855900,0.15126827
7,478318,0.04782969,478296.42170310,0.00097350
8,432046,0.04304672,430466.76953280,5.79363855
9,388304,0.03874205,387420.11257950,2.01656276
10,349420,0.03486784,348678.05132160,1.57878547
11,312972,0.03138106,313810.28618940,2.23932664
12,283570,0.02824295,282429.21757050,4.60782550
13,254018,0.02541866,254186.34581340,0.11149424
14,228538,0.02287679,228767.67123210,0.23057836
15,205874,0.02058911,205890.89410890,0.00138622
16,185284,0.01853020,185301.81469800,0.00171268
17,167326,0.01667718,166771.63322820,1.84277453
18,150073,0.01500946,150094.44990540,0.00306539
19,134442,0.01350852,135085.06491480,3.06127465
20,121574,0.01215767,121576.57842330,0.00005468
Huecos,f0,pe,fe,chi
0,1000439,0.10000000,999999.00000000,0.19360019
1,899134,0.09000000,899999.10000000,0.83155418
2,808645,0.08100000,809999.19000000,2.26399060
3,728665,0.07290000,728999.27100000,0.15327464
4,655298,0.06561000,656099.34390000,0.97874209
5,590901,0.05904900,590489.40951000,0.28689207
6,531724,0.05314410,531440.46855900,0.15126827
7,478318,0.04782969,478296.42170310,0.00097350
8,432046,0.04304672,430466.76953280,5.79363855
9,388304,0.03874205,387420.11257950,2.01656276
10,349420,0.03486784,348678.05132160,1.57878547
11,312972,0.03138106,313810.28618940,2.23932664
12,283570,0.02824295,282429.21757050,4.60782550
13,254018,0.02541866,254186.34581340,0.11149424
14,228538,0.02287679,228767.67123210,0.23057836
15,205874,0.02058911,205890.89410890,0.00138622
16,185284,0.01853020,185301.81469800,0.00171268
17,167326,0.01667718,166771.63322820,1.84277453
18,150073,0.01500946,150094.44990540,0.00306539
19,134442,0.01350852,135085.06491480,3.06127465
20,121574,0.01215767,121576.57842330,0.00005468
