Huecos,f0,pe,fe,chi
0,361476,0.60000000,721189.20000000,179416.97720132
1,143972,0.24000000,288475.68000000,72385.00498046
2,57528,0.09600000,115390.27200000,29014.94608663
3,38124,0.06400000,76926.84800000,19572.63363905
Huecos,f0,pe,fe,chi
0,361476,0.60000000,721189.20000000,179416.97720132
1,143972,0.24000000,288475.68000000,72385.00498046
2,57528,0.09600000,115390.27200000,29014.94608663
3,38124,0.06400000,76926.84800000,19572.63363905
Huecos,f0,pe,fe,chi
0,361476,0.60000000,721189.20000000,179416.97720132
1,143972,0.24000000,288475.68000000,72385.00498046
2,57528,0.09600000,115390.27200000,29014.94608663
3,38124,0.06400000,76926.84800000,19572.63363905
