Tamano Hueco,0,1,2,3,4,5,6,7,8,9,Total
0,100049,100197,100426,100002,100510,99596,99679,100275,99859,99846,1000439
1,89508,89445,89929,90125,90055,90158,90481,89992,89700,89741,899134
2,80447,80561,81313,80770,80690,81128,80904,81545,80916,80371,808645
3,72461,72857,73027,73005,72575,73154,73170,73154,72959,72303,728665
4,65374,65057,65609,65925,65336,65674,65828,65198,65811,65486,655298
5,58861,59119,58869,59083,58837,59206,59172,59473,59368,58913,590901
6,53027,53269,53078,53320,52954,53204,53205,53235,53934,52498,531724
7,47880,47750,47622,48301,47977,47861,47705,47880,47596,47746,478318
8,43442,43065,43146,43032,43424,43246,43166,43161,43147,43217,432046
9,38586,38763,38980,38723,39038,38783,38988,38937,38676,38830,388304
10,34741,34989,35077,35384,35036,34679,35213,34927,34659,34715,349420
11,31323,31309,31328,31473,30998,31213,31190,31450,31216,31472,312972
12,28418,28294,28313,28417,28465,28226,28280,28551,28123,28483,283570
13,25428,25179,25379,25551,25464,25298,25418,25686,25362,25253,254018
14,22791,22795,22890,23077,22931,22639,22803,22776,22888,22948,228538
15,20576,20651,20581,20559,20487,20743,20420,20483,20824,20550,205874
16,18625,18636,18675,18394,18403,18511,18477,18405,18618,18540,185284
17,16824,16616,16644,16816,16648,16759,16732,16897,16712,16678,167326
18,15083,14765,15083,15006,14995,14902,14930,15039,15106,15164,150073
19,13425,13316,13528,13652,13517,13302,13623,13366,13389,13324,134442
20,12229,12054,12073,12063,12275,12155,12204,12201,12166,12154,121574
