Celda,f0,chi
1,39910,0.20232024
2,39912,0.19342423
3,40101,0.25522730
4,39886,0.32467236
5,39910,0.20232024
6,39958,0.04401608
7,40011,0.00304704
8,39752,1.53710558
9,39628,3.45885950
10,39757,1.47574052
11,40241,1.45250849
12,40072,0.12974417
13,40359,3.22274626
14,39916,0.17623222
15,39855,0.52533557
16,40312,2.43422647
17,39982,0.00806405
18,39971,0.02096706
19,39975,0.01557506
20,39853,0.53993158
21,40216,1.16683321
22,40116,0.33663238
23,40261,1.70354874
24,39701,2.23442927
25,40344,2.95909100
Celda,f0,chi
1,39910,0.20232024
2,39912,0.19342423
3,40101,0.25522730
4,39886,0.32467236
5,39910,0.20232024
6,39958,0.04401608
7,40011,0.00304704
8,39752,1.53710558
9,39628,3.45885950
10,39757,1.47574052
11,40241,1.45250849
12,40072,0.12974417
13,40359,3.22274626
14,39916,0.17623222
15,39855,0.52533557
16,40312,2.43422647
17,39982,0.00806405
18,39971,0.02096706
19,39975,0.01557506
20,39853,0.53993158
21,40216,1.16683321
22,40116,0.33663238
23,40261,1.70354874
24,39701,2.23442927
25,40344,2.95909100
