Clase,f0,pe,fe,chi
Diferentes,301691,0.3024,302400.0000,1.66230489
Un par,504517,0.5040,504000.0000,0.53033532
Dos pares,108058,0.1080,108000.0000,0.03114815
Tercia,72064,0.0720,72000.0000,0.05688889
Full,8954,0.0090,9000.0000,0.23511111
Poker,4604,0.0045,4500.0000,2.40355556
Quintilla,112,0.0001,100.0000,1.44000000
Clase,f0,pe,fe,chi
Diferentes,301691,0.3024,302400.0000,1.66230489
Un par,504517,0.5040,504000.0000,0.53033532
Dos pares,108058,0.1080,108000.0000,0.03114815
Tercia,72064,0.0720,72000.0000,0.05688889
Full,8954,0.0090,9000.0000,0.23511111
Poker,4604,0.0045,4500.0000,2.40355556
Quintilla,112,0.0001,100.0000,1.44000000
