Huecos,f0,pe,fe,chi
0,800234,0.10000000,799998.40000000,0.06938434
1,720556,0.09000000,719998.56000000,0.43158330
2,647176,0.08100000,647998.70400000,1.04451115
3,582287,0.07290000,583198.83360000,1.42565531
4,524796,0.06561000,524878.95024000,0.01310920
5,472800,0.05904900,472391.05521600,0.35401990
6,425726,0.05314410,425151.94969440,0.77509642
7,383633,0.04782969,382636.75472496,2.59385602
8,344099,0.04304672,344373.07125248,0.21812115
9,309861,0.03874205,309935.78012720,0.01804266
10,278952,0.03486784,278942.16211456,0.00034697
11,250419,0.03138106,251047.97790304,1.57584700
12,226009,0.02824295,225943.14811280,0.01919275
13,203296,0.02541866,203348.87330144,0.01374773
14,183508,0.02287679,183013.95397136,1.33367688
15,164330,0.02058911,164712.55057424,0.88848689
16,148140,0.01853020,148241.30351680,0.06922769
17,133360,0.01667718,133417.17316512,0.02450038
18,119242,0.01500946,120075.43984864,5.78487976
19,108713,0.01350852,108067.94386368,3.85033160
20,96484,0.01215767,97261.16547728,6.20994182
