Huecos,f0,pe,fe,chi
0,1601605,0.10000000,1599999.00000000,1.61202351
1,1439011,0.09000000,1439999.10000000,0.67801543
2,1293929,0.08100000,1295999.19000000,3.30685904
3,1167603,0.07290000,1166399.27100000,1.24225344
4,1050537,0.06561000,1049759.34390000,0.57608347
5,944073,0.05904900,944783.40951000,0.53417711
6,851824,0.05314410,850305.06855900,2.71332350
7,764858,0.04782969,765274.56170310,0.22674692
8,688863,0.04304672,688747.08953280,0.01950678
9,620399,0.03874205,619872.41257950,0.44734095
10,557186,0.03486784,557885.09132160,0.87603824
11,501252,0.03138106,502096.64618940,1.42089614
12,451261,0.02824295,451886.91757050,0.86697089
13,406820,0.02541866,406698.30581340,0.03641391
14,366730,0.02287679,366028.41123210,1.34477758
15,328950,0.02058911,329425.55410890,0.68650324
16,296104,0.01853020,296483.01469800,0.48452064
17,267356,0.01667718,266834.71322820,1.01838286
18,240223,0.01500946,240151.20990540,0.02146072
19,216093,0.01350852,216136.18491480,0.00862853
20,194767,0.01215767,194522.59842330,0.30707039
