Tamano Hueco,0,1,2,3,4,5,6,7,8,9,Total
0,79481,79893,79919,79977,80258,80262,80119,80239,80323,79763,800234
1,71908,71975,71473,71777,72210,72521,72007,72498,72453,71734,720556
2,64717,64939,64290,64674,64716,64656,65043,64717,64848,64576,647176
3,58133,58553,57892,58196,57912,58255,58343,58222,58194,58587,582287
4,52576,52753,52319,52550,52877,52585,52367,51948,52361,52460,524796
5,47366,47498,46969,47471,47362,47412,47428,47193,47090,47011,472800
6,42578,42704,42625,42518,42309,42560,42552,42608,42843,42429,425726
7,38368,38511,38216,38403,38481,38348,38435,38300,38107,38464,383633
8,34444,34134,34251,34188,34464,34644,34462,34383,34487,34642,344099
9,30890,30864,31183,30877,31194,30885,31140,30812,31041,30975,309861
10,27491,27677,27857,28001,27933,28131,27952,28107,27799,28004,278952
11,25026,25245,25186,25157,25099,25006,24915,24957,24825,25003,250419
12,22491,22755,22623,22540,22609,22665,22690,22405,22523,22708,226009
13,20183,20286,20200,20209,20406,20434,20503,20230,20309,20536,203296
14,18576,18437,18247,18290,18318,18448,18178,18453,18262,18299,183508
15,16313,16405,16572,16371,16420,16382,16591,16579,16372,16325,164330
16,14907,14852,14646,14883,14787,14786,14696,14822,14943,14818,148140
17,13380,13343,13375,13156,13108,13436,13423,13426,13313,13400,133360
18,12094,12033,12030,11792,11971,11703,11988,11809,11817,12005,119242
19,10935,11049,10878,10633,10861,10924,11010,10663,10896,10864,108713
20,9592,9667,9649,9740,9580,9610,9705,9443,9786,9712,96484
