Tamano Hueco,0,1,2,3,4,5,6,7,8,9,Total
0,160326,159914,159274,160420,160724,159789,160637,159823,160952,159746,1601605
1,143959,143509,144122,143550,143852,143857,144030,144241,144079,143812,1439011
2,129656,129349,128996,129885,129318,129591,129591,128761,129692,129090,1293929
3,117704,116140,116967,117409,116718,116840,116449,116057,116863,116456,1167603
4,105048,104858,104847,105439,105451,105310,104742,105056,104537,105249,1050537
5,94478,94600,94555,94698,94320,94724,94096,93987,94185,94430,944073
6,85171,84875,85119,85479,85017,85708,85346,84939,85553,84617,851824
7,76941,76080,75901,76560,76362,76650,76773,76296,76306,76989,764858
8,68977,69373,68364,68408,68877,69268,68850,69103,68807,68836,688863
9,61852,62604,61789,62257,62470,61656,62076,61690,62063,61942,620399
10,55802,55487,55461,55416,55668,55613,55946,55559,55896,56338,557186
11,49839,50279,50136,50433,50321,50254,49782,50021,49886,50301,501252
12,45099,44840,45214,45304,45193,44862,44940,44979,45380,45450,451261
13,40797,40816,40589,40718,40225,40684,40712,40788,40891,40600,406820
14,36555,36575,36988,36819,36652,36481,36567,36871,36370,36852,366730
15,33025,32798,33076,33193,32863,32769,32714,32863,32821,32828,328950
16,29902,29457,29727,29723,30020,29338,29531,29342,29593,29471,296104
17,26654,26839,26623,26475,26677,26971,26730,26970,26519,26898,267356
18,24097,24007,24067,23911,24153,24179,23726,23919,24133,24031,240223
19,21529,21706,21553,21499,21495,21645,21532,21748,21834,21552,216093
20,19311,19498,19481,19437,19448,19352,19450,19615,19533,19642,194767
