Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
Clase,f0,pe,fe,chi
Diferentes,13,0.3024,9.0720,1.70074780
Un par,15,0.5040,15.1200,0.00095238
Dos pares,1,0.1080,3.2400,1.54864198
Tercia,1,0.0720,2.1600,0.62296296
Full,0,0.0090,0.2700,0.27000000
Poker,0,0.0045,0.1350,0.13500000
Quintilla,0,0.0001,0.0030,0.00300000
