Huecos,f0,pe,fe,chi
0,14,0.1000,11.0000,0.8182
1,7,0.0900,9.9000,0.8495
2,9,0.0810,8.9100,0.0009
3,12,0.0729,8.0190,1.9764
4,10,0.0656,7.2160,1.0741
5,6,0.0590,6.4900,0.0370
6,5,0.0531,5.8410,0.1211
7,4,0.0478,5.2580,0.3010
8,5,0.0430,4.7300,0.0154
9,3,0.0387,4.2570,0.3712
10,1,0.0349,3.8390,2.0995
11,6,0.0314,3.4540,1.8767
12,3,0.0282,3.1020,0.0034
13,1,0.0254,2.7940,1.1519
14,3,0.0229,2.5190,0.0919
15,4,0.0206,2.2660,1.3269
16,2,0.0185,2.0350,0.0006
17,1,0.0167,1.8370,0.3814
18,2,0.0150,1.6500,0.0742
19,2,0.0135,1.4850,0.1786
20,0,0.0122,1.3420,1.3420
Huecos,f0,pe,fe,chi
0,14,0.1000,11.0000,0.8182
1,7,0.0900,9.9000,0.8495
2,9,0.0810,8.9100,0.0009
3,12,0.0729,8.0190,1.9764
4,10,0.0656,7.2160,1.0741
5,6,0.0590,6.4900,0.0370
6,5,0.0531,5.8410,0.1211
7,4,0.0478,5.2580,0.3010
8,5,0.0430,4.7300,0.0154
9,3,0.0387,4.2570,0.3712
10,1,0.0349,3.8390,2.0995
11,6,0.0314,3.4540,1.8767
12,3,0.0282,3.1020,0.0034
13,1,0.0254,2.7940,1.1519
14,3,0.0229,2.5190,0.0919
15,4,0.0206,2.2660,1.3269
16,2,0.0185,2.0350,0.0006
17,1,0.0167,1.8370,0.3814
18,2,0.0150,1.6500,0.0742
19,2,0.0135,1.4850,0.1786
20,0,0.0122,1.3420,1.3420
Huecos,f0,pe,fe,chi
0,14,0.1000,11.0000,0.8182
1,7,0.0900,9.9000,0.8495
2,9,0.0810,8.9100,0.0009
3,12,0.0729,8.0190,1.9764
4,10,0.0656,7.2160,1.0741
5,6,0.0590,6.4900,0.0370
6,5,0.0531,5.8410,0.1211
7,4,0.0478,5.2580,0.3010
8,5,0.0430,4.7300,0.0154
9,3,0.0387,4.2570,0.3712
10,1,0.0349,3.8390,2.0995
11,6,0.0314,3.4540,1.8767
12,3,0.0282,3.1020,0.0034
13,1,0.0254,2.7940,1.1519
14,3,0.0229,2.5190,0.0919
15,4,0.0206,2.2660,1.3269
16,2,0.0185,2.0350,0.0006
17,1,0.0167,1.8370,0.3814
18,2,0.0150,1.6500,0.0742
19,2,0.0135,1.4850,0.1786
20,0,0.0122,1.3420,1.3420
Huecos,f0,pe,fe,chi
0,14,0.1000,11.0000,0.8182
1,7,0.0900,9.9000,0.8495
2,9,0.0810,8.9100,0.0009
3,12,0.0729,8.0190,1.9764
4,10,0.0656,7.2160,1.0741
5,6,0.0590,6.4900,0.0370
6,5,0.0531,5.8410,0.1211
7,4,0.0478,5.2580,0.3010
8,5,0.0430,4.7300,0.0154
9,3,0.0387,4.2570,0.3712
10,1,0.0349,3.8390,2.0995
11,6,0.0314,3.4540,1.8767
12,3,0.0282,3.1020,0.0034
13,1,0.0254,2.7940,1.1519
14,3,0.0229,2.5190,0.0919
15,4,0.0206,2.2660,1.3269
16,2,0.0185,2.0350,0.0006
17,1,0.0167,1.8370,0.3814
18,2,0.0150,1.6500,0.0742
19,2,0.0135,1.4850,0.1786
20,0,0.0122,1.3420,1.3420
Huecos,f0,pe,fe,chi
0,14,0.1000,11.0000,0.8182
1,7,0.0900,9.9000,0.8495
2,9,0.0810,8.9100,0.0009
3,12,0.0729,8.0190,1.9764
4,10,0.0656,7.2160,1.0741
5,6,0.0590,6.4900,0.0370
6,5,0.0531,5.8410,0.1211
7,4,0.0478,5.2580,0.3010
8,5,0.0430,4.7300,0.0154
9,3,0.0387,4.2570,0.3712
10,1,0.0349,3.8390,2.0995
11,6,0.0314,3.4540,1.8767
12,3,0.0282,3.1020,0.0034
13,1,0.0254,2.7940,1.1519
