Huecos,f0,pe,fe,chi
0,2,0.2000,9.6000,6.0167
1,4,0.1600,7.6800,1.7633
2,1,0.1280,6.1440,4.3068
3,9,0.5120,24.5760,9.8719
Huecos,f0,pe,fe,chi
0,2,0.2000,9.6000,6.0167
1,4,0.1600,7.6800,1.7633
2,1,0.1280,6.1440,4.3068
3,9,0.5120,24.5760,9.8719
Huecos,f0,pe,fe,chi
0,2,0.2000,9.6000,6.0167
1,4,0.1600,7.6800,1.7633
2,1,0.1280,6.1440,4.3068
3,9,0.5120,24.5760,9.8719
Huecos,f0,pe,fe,chi
0,2,0.2000,9.6000,6.0167
1,4,0.1600,7.6800,1.7633
2,1,0.1280,6.1440,4.3068
3,9,0.5120,24.5760,9.8719
Huecos,f0,pe,fe,chi
0,2,0.2000,9.6000,6.0167
1,4,0.1600,7.6800,1.7633
2,1,0.1280,6.1440,4.3068
3,9,0.5120,24.5760,9.8719
