Celda,f0,chi
1,39739,1.70250474
2,40202,1.02050506
3,39829,0.73068377
4,40054,0.07300811
5,40181,0.81938786
6,40195,0.95101599
7,40363,3.29495433
8,39778,1.23165727
9,40246,1.51339355
10,40243,1.47671252
11,39746,1.61239365
12,39859,0.49674354
13,39721,1.94546899
14,40008,0.00161604
15,39694,2.34029038
16,39988,0.00357604
17,39948,0.06749611
18,40025,0.01567506
19,40363,3.29495433
20,40116,0.33663238
21,40033,0.02729107
22,40069,0.11916316
23,39675,2.63997768
24,40154,0.59320863
25,39770,1.32204136
Celda,f0,chi
1,39739,1.70250474
2,40202,1.02050506
3,39829,0.73068377
4,40054,0.07300811
5,40181,0.81938786
6,40195,0.95101599
7,40363,3.29495433
8,39778,1.23165727
9,40246,1.51339355
10,40243,1.47671252
11,39746,1.61239365
12,39859,0.49674354
13,39721,1.94546899
14,40008,0.00161604
15,39694,2.34029038
16,39988,0.00357604
17,39948,0.06749611
18,40025,0.01567506
19,40363,3.29495433
20,40116,0.33663238
21,40033,0.02729107
22,40069,0.11916316
23,39675,2.63997768
24,40154,0.59320863
25,39770,1.32204136
Celda,f0,chi
1,39739,1.70250474
2,40202,1.02050506
3,39829,0.73068377
4,40054,0.07300811
5,40181,0.81938786
6,40195,0.95101599
7,40363,3.29495433
8,39778,1.23165727
9,40246,1.51339355
10,40243,1.47671252
11,39746,1.61239365
12,39859,0.49674354
13,39721,1.94546899
14,40008,0.00161604
15,39694,2.34029038
16,39988,0.00357604
17,39948,0.06749611
18,40025,0.01567506
19,40363,3.29495433
20,40116,0.33663238
21,40033,0.02729107
22,40069,0.11916316
23,39675,2.63997768
24,40154,0.59320863
25,39770,1.32204136
