Huecos,f0,pe,fe,chi
0,1701288,0.10000000,1699947.40000000,1.05721410
1,1528896,0.09000000,1529952.66000000,0.72978098
2,1375769,0.08100000,1376957.39400000,1.02565287
3,1240210,0.07290000,1239261.65460000,0.72572164
4,1116540,0.06561000,1115335.48914000,1.30081615
5,1003238,0.05904900,1003801.94022600,0.31682403
6,904312,0.05314410,903421.74620340,0.87727778
7,812546,0.04782969,813079.57158306,0.35014855
8,732160,0.04304672,731771.59742528,0.20615252
9,657208,0.03874205,658594.47168170,2.91879724
10,592895,0.03486784,592734.93951616,0.04322229
11,533575,0.03138106,533461.51356244,0.02414264
12,479587,0.02824295,480115.29420830,0.58130781
13,432030,0.02541866,432103.84978484,0.01262148
14,388552,0.02287679,388893.39680846,0.29970111
15,352093,0.02058911,350004.04012814,12.46772279
16,314886,0.01853020,315003.65311480,0.04394316
17,282493,0.01667718,283503.28780332,3.60024553
18,254749,0.01500946,255152.92502404,0.63944172
19,229795,0.01350852,229637.73451848,0.10770195
20,206802,0.01215767,206673.99506558,0.07928072
Huecos,f0,pe,fe,chi
0,1701288,0.10000000,1699947.40000000,1.05721410
1,1528896,0.09000000,1529952.66000000,0.72978098
2,1375769,0.08100000,1376957.39400000,1.02565287
3,1240210,0.07290000,1239261.65460000,0.72572164
4,1116540,0.06561000,1115335.48914000,1.30081615
5,1003238,0.05904900,1003801.94022600,0.31682403
6,904312,0.05314410,903421.74620340,0.87727778
7,812546,0.04782969,813079.57158306,0.35014855
8,732160,0.04304672,731771.59742528,0.20615252
9,657208,0.03874205,658594.47168170,2.91879724
10,592895,0.03486784,592734.93951616,0.04322229
11,533575,0.03138106,533461.51356244,0.02414264
12,479587,0.02824295,480115.29420830,0.58130781
13,432030,0.02541866,432103.84978484,0.01262148
14,388552,0.02287679,388893.39680846,0.29970111
15,352093,0.02058911,350004.04012814,12.46772279
16,314886,0.01853020,315003.65311480,0.04394316
17,282493,0.01667718,283503.28780332,3.60024553
18,254749,0.01500946,255152.92502404,0.63944172
19,229795,0.01350852,229637.73451848,0.10770195
20,206802,0.01215767,206673.99506558,0.07928072
Huecos,f0,pe,fe,chi
0,1701288,0.10000000,1699947.40000000,1.05721410
1,1528896,0.09000000,1529952.66000000,0.72978098
2,1375769,0.08100000,1376957.39400000,1.02565287
3,1240210,0.07290000,1239261.65460000,0.72572164
4,1116540,0.06561000,1115335.48914000,1.30081615
5,1003238,0.05904900,1003801.94022600,0.31682403
6,904312,0.05314410,903421.74620340,0.87727778
7,812546,0.04782969,813079.57158306,0.35014855
8,732160,0.04304672,731771.59742528,0.20615252
9,657208,0.03874205,658594.47168170,2.91879724
10,592895,0.03486784,592734.93951616,0.04322229
11,533575,0.03138106,533461.51356244,0.02414264
12,479587,0.02824295,480115.29420830,0.58130781
13,432030,0.02541866,432103.84978484,0.01262148
14,388552,0.02287679,388893.39680846,0.29970111
15,352093,0.02058911,350004.04012814,12.46772279
16,314886,0.01853020,315003.65311480,0.04394316
17,282493,0.01667718,283503.28780332,3.60024553
18,254749,0.01500946,255152.92502404,0.63944172
19,229795,0.01350852,229637.73451848,0.10770195
20,206802,0.01215767,206673.99506558,0.07928072
Huecos,f0,pe,fe,chi
0,1701288,0.10000000,1699947.40000000,1.05721410
1,1528896,0.09000000,1529952.66000000,0.72978098
2,1375769,0.08100000,1376957.39400000,1.02565287
3,1240210,0.07290000,1239261.65460000,0.72572164
4,1116540,0.06561000,1115335.48914000,1.30081615
5,1003238,0.05904900,1003801.94022600,0.31682403
6,904312,0.05314410,903421.74620340,0.87727778
7,812546,0.04782969,813079.57158306,0.35014855
8,732160,0.04304672,731771.59742528,0.20615252
9,657208,0.03874205,658594.47168170,2.91879724
10,592895,0.03486784,592734.93951616,0.04322229
11,533575,0.03138106,533461.51356244,0.02414264
12,479587,0.02824295,480115.29420830,0.58130781
13,432030,0.02541866,432103.84978484,0.01262148
14,388552,0.02287679,388893.39680846,0.29970111
15,352093,0.02058911,350004.04012814,12.46772279
16,314886,0.01853020,315003.65311480,0.04394316
17,282493,0.01667718,283503.28780332,3.60024553
18,254749,0.01500946,255152.92502404,0.63944172
19,229795,0.01350852,229637.73451848,0.10770195
20,206802,0.01215767,206673.99506558,0.07928072
