Huecos,f0,pe,fe,chi
0,159724,0.40000000,159948.00000000,0.31370195
1,96047,0.24000000,95968.80000000,0.06372113
2,57790,0.14400000,57581.28000000,0.75656600
3,86309,0.21600000,86371.92000000,0.04583580
Huecos,f0,pe,fe,chi
0,159724,0.40000000,159948.00000000,0.31370195
1,96047,0.24000000,95968.80000000,0.06372113
2,57790,0.14400000,57581.28000000,0.75656600
3,86309,0.21600000,86371.92000000,0.04583580
Huecos,f0,pe,fe,chi
0,159724,0.40000000,159948.00000000,0.31370195
1,96047,0.24000000,95968.80000000,0.06372113
2,57790,0.14400000,57581.28000000,0.75656600
3,86309,0.21600000,86371.92000000,0.04583580
Huecos,f0,pe,fe,chi
0,159724,0.40000000,159948.00000000,0.31370195
1,96047,0.24000000,95968.80000000,0.06372113
2,57790,0.14400000,57581.28000000,0.75656600
3,86309,0.21600000,86371.92000000,0.04583580
