Tamano Hueco,0,1,2,3,4,5,6,7,8,9,Total
0,149580,171803,173387,171583,172009,171771,173576,173218,171814,172547,1701288
1,135726,155019,155023,154454,154255,154728,154930,154862,154801,155098,1528896
2,123147,140150,138949,138591,138454,138890,139519,139462,140055,138552,1375769
3,111704,125270,125653,125137,125953,125069,125408,124885,125776,125355,1240210
4,101871,112897,113163,112684,112299,112470,112694,112960,112516,112986,1116540
5,92140,100982,101409,101447,101221,101416,101046,101159,101279,101139,1003238
6,83576,90840,91324,92001,91050,91196,91096,91417,90810,91002,904312
7,75305,82059,81958,81678,81973,81644,82369,81968,81430,82162,812546
8,68151,73849,74134,73620,73490,73435,74189,73886,73974,73432,732160
9,61468,66331,65638,66563,66299,65861,66347,66310,66177,66214,657208
10,56224,59493,59485,59637,59513,59779,59665,59390,59655,60054,592895
11,50756,53538,53526,53914,53391,53565,53942,53989,53497,53457,533575
12,46100,48479,48455,48065,48147,48053,48323,48167,47995,47803,479587
13,41474,43119,43624,43420,43222,43347,43413,43297,43662,43452,432030
14,38124,39085,38668,39059,38668,38816,39052,38928,39147,39005,388552
15,35877,35140,35152,35046,35287,34913,35214,35352,34899,35213,352093
16,30612,31675,31605,31501,31766,31502,31566,31398,31630,31631,314886
17,27865,28358,28380,28272,28321,28305,28262,28084,28517,28129,282493
18,25179,25713,25529,25379,25481,25551,25353,25495,25791,25278,254749
19,22768,23097,22892,22844,23088,23282,22846,22900,22894,23184,229795
20,20799,20704,20662,20378,20915,20726,20629,20771,20618,20600,206802
Tamano Hueco,0,1,2,3,4,5,6,7,8,9,Total
0,149580,171803,173387,171583,172009,171771,173576,173218,171814,172547,1701288
1,135726,155019,155023,154454,154255,154728,154930,154862,154801,155098,1528896
2,123147,140150,138949,138591,138454,138890,139519,139462,140055,138552,1375769
3,111704,125270,125653,125137,125953,125069,125408,124885,125776,125355,1240210
4,101871,112897,113163,112684,112299,112470,112694,112960,112516,112986,1116540
5,92140,100982,101409,101447,101221,101416,101046,101159,101279,101139,1003238
6,83576,90840,91324,92001,91050,91196,91096,91417,90810,91002,904312
7,75305,82059,81958,81678,81973,81644,82369,81968,81430,82162,812546
8,68151,73849,74134,73620,73490,73435,74189,73886,73974,73432,732160
9,61468,66331,65638,66563,66299,65861,66347,66310,66177,66214,657208
10,56224,59493,59485,59637,59513,59779,59665,59390,59655,60054,592895
11,50756,53538,53526,53914,53391,53565,53942,53989,53497,53457,533575
12,46100,48479,48455,48065,48147,48053,48323,48167,47995,47803,479587
13,41474,43119,43624,43420,43222,43347,43413,43297,43662,43452,432030
14,38124,39085,38668,39059,38668,38816,39052,38928,39147,39005,388552
15,35877,35140,35152,35046,35287,34913,35214,35352,34899,35213,352093
16,30612,31675,31605,31501,31766,31502,31566,31398,31630,31631,314886
17,27865,28358,28380,28272,28321,28305,28262,28084,28517,28129,282493
18,25179,25713,25529,25379,25481,25551,25353,25495,25791,25278,254749
19,22768,23097,22892,22844,23088,23282,22846,22900,22894,23184,229795
20,20799,20704,20662,20378,20915,20726,20629,20771,20618,20600,206802
