Celda,f0,chi
1,40042,0.04418408
2,39966,0.02883207
3,40111,0.30824735
4,39926,0.13675218
5,39942,0.08398412
6,39848,0.57729662
7,40183,0.83759188
8,40090,0.20268024
9,39778,1.23165727
10,39989,0.00300304
11,40136,0.46267250
12,39830,0.72216076
13,40152,0.57790462
14,39844,0.60808865
15,39738,1.71557776
16,40072,0.12974417
17,40301,2.26562931
18,39841,0.63170767
19,40157,0.61653966
20,40143,0.51151155
21,39812,0.88322492
22,40233,1.35769240
23,39507,6.07524512
24,40183,0.83759188
25,40175,0.76597581
Celda,f0,chi
1,40042,0.04418408
2,39966,0.02883207
3,40111,0.30824735
4,39926,0.13675218
5,39942,0.08398412
6,39848,0.57729662
7,40183,0.83759188
8,40090,0.20268024
9,39778,1.23165727
10,39989,0.00300304
11,40136,0.46267250
12,39830,0.72216076
13,40152,0.57790462
14,39844,0.60808865
15,39738,1.71557776
16,40072,0.12974417
17,40301,2.26562931
18,39841,0.63170767
19,40157,0.61653966
20,40143,0.51151155
21,39812,0.88322492
22,40233,1.35769240
23,39507,6.07524512
24,40183,0.83759188
25,40175,0.76597581
