Clase,f0,pe,fe,chi
Diferentes,301751,0.3024,302400.0000,1.39286045
Un par,504890,0.5040,504000.0000,1.57162698
Dos pares,108157,0.1080,108000.0000,0.22823148
Tercia,71781,0.0720,72000.0000,0.66612500
Full,8991,0.0090,9000.0000,0.00900000
Poker,4357,0.0045,4500.0000,4.54422222
Quintilla,73,0.0001,100.0000,7.29000000
Clase,f0,pe,fe,chi
Diferentes,301751,0.3024,302400.0000,1.39286045
Un par,504890,0.5040,504000.0000,1.57162698
Dos pares,108157,0.1080,108000.0000,0.22823148
Tercia,71781,0.0720,72000.0000,0.66612500
Full,8991,0.0090,9000.0000,0.00900000
Poker,4357,0.0045,4500.0000,4.54422222
Quintilla,73,0.0001,100.0000,7.29000000
