Huecos,f0,pe,fe,chi
0,1628609,0.10000000,1626876.80000000,1.84434177
1,1461683,0.09000000,1464189.12000000,4.28949879
2,1317779,0.08100000,1317770.20800000,0.00005866
3,1186788,0.07290000,1185993.18720000,0.53265684
4,1066533,0.06561000,1067393.86848000,0.69430279
5,962605,0.05904900,960654.48163200,3.96034368
6,865274,0.05314410,864589.03346880,0.54266146
7,777946,0.04782969,778130.13012192,0.04357099
8,700597,0.04304672,700317.10084096,0.11186867
9,630305,0.03874205,630285.42329440,0.00060805
10,566281,0.03486784,567256.79962112,1.67857821
11,510675,0.03138106,510531.18473408,0.04051237
12,458714,0.02824295,459478.00118560,1.27034985
13,414506,0.02541866,413530.28241088,2.30218887
14,373354,0.02287679,372177.18909472,3.72103382
15,334745,0.02058911,334959.45391648,0.13730164
16,301332,0.01853020,301463.52479360,0.05738263
17,271243,0.01667718,271317.17231424,0.02027712
18,242642,0.01500946,244185.42254528,9.75550927
19,219342,0.01350852,219766.97790336,0.82180781
20,198127,0.01215767,197790.31265056,0.57312398
