Tamano Hueco,0,1,2,3,4,5,6,7,8,9,Total
0,142249,159741,163009,166237,168561,169038,169238,166458,164005,160073,1628609
1,128495,143638,146026,149189,151343,151411,151351,149696,146689,143845,1461683
2,117130,129062,131597,134771,136520,136448,135999,134509,131955,129788,1317779
3,106130,116635,118872,120906,121992,122447,122849,121109,119182,116666,1186788
4,96172,105196,106905,108984,109943,109367,109608,108070,106853,105435,1066533
5,87228,94660,96126,98365,98863,98812,98960,97730,96683,95178,962605
6,79341,85220,86689,86958,88396,88389,89619,87731,86773,86158,865274
7,71792,76990,77629,79193,79339,79791,79512,78895,78271,76534,777946
8,64818,69533,69967,70993,71528,71488,71890,71117,70025,69238,700597
9,59126,62651,62892,63730,63595,64215,64061,63923,63190,62922,630305
10,53489,56087,56371,57069,57944,57220,57493,57465,56848,56295,566281
11,48614,50579,51011,51616,51649,51917,51762,51689,51286,50552,510675
12,43869,45638,45740,46069,46651,46437,46423,46341,45751,45795,458714
13,40075,41052,41335,41650,42153,42025,41933,41490,41518,41275,414506
14,37515,37092,36967,37180,37251,37873,37523,37405,37386,37162,373354
15,33074,32595,33445,33869,34611,33470,33185,33163,33507,33826,334745
16,29151,30418,30200,29982,30000,30535,30310,30271,30025,30440,301332
17,26720,27120,27219,27260,27014,27162,27335,27084,27250,27079,271243
18,23937,24458,24223,24259,23845,24126,24445,24460,24403,24486,242642
19,21730,22117,21906,22043,21989,21996,21916,21916,21929,21800,219342
20,20100,20044,19486,19715,19578,19886,19644,19817,19900,19957,198127
